[0416/175431.776:ERROR:media_internals.cc(112)] Cannot get RenderProcessHost
[0419/125341.431:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0419/132458.556:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/132458.946:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/132459.032:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/132459.035:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/132459.072:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/132459.176:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/132459.209:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/132459.212:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/132459.243:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/132459.256:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/132459.276:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/132459.354:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/132459.401:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/132459.411:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/132459.522:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/132459.585:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/132459.591:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/132459.623:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/132459.632:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/132459.732:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/132459.847:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/132459.852:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/132459.859:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/132459.905:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/132459.910:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/132459.953:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/132459.955:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/132500.195:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/132500.278:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/132500.369:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/132500.392:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/132500.427:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/132500.430:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/132500.516:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/132500.519:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/132500.525:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/132500.619:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/132500.718:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/132500.795:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/132500.901:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/132500.910:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/132500.913:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/132501.007:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/132501.110:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/150600.767:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/150600.768:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/150600.801:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/150600.818:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/150600.837:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/150600.862:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/150600.883:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/150600.887:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/150600.887:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/150600.902:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/150600.943:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/150600.943:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/150601.005:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/150601.006:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/150601.007:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/150601.017:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/150601.037:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/150601.037:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/150601.042:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/150601.432:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/150601.432:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/150601.464:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/150601.590:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/150601.655:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/150601.956:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/150601.960:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/153508.358:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0419/153513.382:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0419/153518.401:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0419/153528.504:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0419/153855.422:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/153855.425:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/153855.426:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/153855.518:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/153855.572:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/153855.785:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/153855.803:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/153856.084:WARNING:dns_config_service_win.cc(715)] Failed to read DnsHosts.
[0419/184011.589:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
